RaceId,km,catId,DisciplineId,StatusId,StatusText,ScheduleStatus,ResultStatus,HasLiveData,IsLive,StartTime,Description,ShortDescription,Location,ResultsCredit,TimingCredit,HasAnalysis,StartMode,NrShootings,NrSpareRounds,HasSpareRounds,PenaltySeconds,NrLegs,ShootingPositions,LocalUTCOffset,RSC,GenderOrder,updated_at,season_id,event_id
BT5960SWRLOG__SMIN,20,SM,IN,11,Final,Finished,Official,False,False,1960-02-21 09:00:00,Men 20 km Individual,Men 20km Individual,Squaw Valley,,,False,1,4,0,False,120,0,PSPS,1,BTHM20KMIS------------FNL-000100--,,2026-01-26 10:13:14,5960,BT5960SWRLOG__
BT6364SWRLOG__SMIN,20,SM,IN,11,Final,Finished,Official,False,False,1964-02-04 09:00:00,Men 20 km Individual,Men 20km Individual,Innsbruck,,,False,1,4,0,False,120,0,PSPS,1,BTHM20KMIS------------FNL-000100--,,2026-01-26 10:13:14,6364,BT6364SWRLOG__
BT6768SWRLOG__SMIN,20,SM,IN,11,Final,Finished,Official,False,False,1968-02-12 09:00:00,Men 20 km Individual,Men 20km Individual,Grenoble,,,False,1,4,0,False,60,0,PSPS,1,BTHM20KMIS------------FNL-000100--,,2026-01-26 10:13:14,6768,BT6768SWRLOG__
BT6768SWRLOG__SMRL,30,SM,RL,11,Final,Finished,Official,False,False,1968-02-15 09:00:00,Men 4x7.5 km Relay,Men 4x7.5km Relay,Grenoble,,,False,3,0,4,True,0,4,PS,1,BTHM4X7.5KM-----------FNL-000100--,,2026-01-26 10:13:14,6768,BT6768SWRLOG__
BT7172SWRLOG__SMIN,20,SM,IN,11,Final,Finished,Official,False,False,1972-02-09 09:00:00,Men 20 km Individual,Men 20km Individual,Sapporo,,,False,1,4,0,False,60,0,PSPS,1,BTHM20KMIS------------FNL-000100--,,2026-01-26 10:13:14,7172,BT7172SWRLOG__
BT7172SWRLOG__SMRL,30,SM,RL,11,Final,Finished,Official,False,False,1972-02-11 09:00:00,Men 4x7.5 km Relay,Men 4x7.5km Relay,Sapporo,,,False,3,0,4,True,0,4,PS,1,BTHM4X7.5KM-----------FNL-000100--,,2026-01-26 10:13:14,7172,BT7172SWRLOG__
BT7576SWRLOG__SMIN,20,SM,IN,11,Final,Finished,Official,False,False,1976-02-06 09:00:00,Men 20 km Individual,Men 20km Individual,Innsbruck,,,False,1,4,0,False,60,0,PSPS,1,BTHM20KMIS------------FNL-000100--,,2026-01-26 10:13:14,7576,BT7576SWRLOG__
BT7576SWRLOG__SMRL,30,SM,RL,11,Final,Finished,Official,False,False,1976-02-13 09:00:00,Men 4x7.5 km Relay,Men 4x7.5km Relay,Innsbruck,,,False,3,0,4,True,0,4,PS,1,BTHM4X7.5KM-----------FNL-000100--,,2026-01-26 10:13:14,7576,BT7576SWRLOG__
BT7980SWRLOG__SMSP,10,SM,SP,11,Final,Finished,Official,False,False,1980-02-19 09:00:00,Men 10 km Sprint,Men 10km Sprint,Lake Placid,,,False,0,2,0,False,0,0,PS,1,BTHM10KMSP------------FNL-000100--,,2026-01-26 10:13:14,7980,BT7980SWRLOG__
BT7980SWRLOG__SMIN,20,SM,IN,11,Final,Finished,Official,False,False,1980-02-16 09:00:00,Men 20 km Individual,Men 20km Individual,Lake Placid,,,False,1,4,0,False,60,0,PSPS,1,BTHM20KMIS------------FNL-000100--,,2026-01-26 10:13:14,7980,BT7980SWRLOG__
BT7980SWRLOG__SMRL,30,SM,RL,11,Final,Finished,Official,False,False,1980-02-22 09:00:00,Men 4x7.5 km Relay,Men 4x7.5km Relay,Lake Placid,,,False,3,0,4,True,0,4,PS,1,BTHM4X7.5KM-----------FNL-000100--,,2026-01-26 10:13:14,7980,BT7980SWRLOG__
